iata;type;name;coordinates;timezone;parent_name;City
POL;city;Pemba;-12.9732026:40.5178014;Africa/Maputo;Mozambique;Pemba
LCB;city;Pontes e Lacerda;-13.02:-60.0;America/Cuiaba;Brazil;Pontes e Lacerda
KBQ;city;Kasungu;-13.0333333:33.4833333;Africa/Blantyre;Malawi;Kasungu
SJB;city;San Joaquin;-13.0413889:-64.6680556;America/La_Paz;Bolivia;San Joaquin
MLV;city;Merluna;-13.07:142.45;Australia/Brisbane;Australia;Merluna
CSW;city;Colorado do Oeste;-13.1176021:-60.5412264;America/Porto_Velho;Brazil;Colorado do Oeste
MTU;city;Montepuez;-13.12:39.05;Africa/Maputo;Mozambique;Montepuez
AYP;city;Ayacucho;-13.1630556:-74.2244444;America/Lima;Peru;Ayacucho
MFT;city;Machu Picchu;-13.1639567:-72.545993;America/Lima;Peru;Machu Picchu
AMB;city;Ambilobe;-13.19554:49.050468;Indian/Antananarivo;Madagascar;Ambilobe
BYX;city;Baniyala;-13.2:136.23;Australia/Darwin;Australia;Baniyala
LAZ;city;Bom Jesus Da Lapa;-13.254609:-43.4188449;America/Bahia;Brazil;Bom Jesus Da Lapa
MFU;city;Mfuwe;-13.26:31.94;Africa/Lusaka;Zambia;Mfuwe
UMI;city;Quincemil;-13.26666:-70.68333;America/Lima;Peru;Quincemil
VXC;city;Lichinga;-13.27:35.27;Africa/Maputo;Mozambique;Lichinga
SRD;city;San Ramon;-13.28:-64.7;America/La_Paz;Bolivia;San Ramon
WLS;city;Wallis Island;-13.2959105:-176.2056843;-12.0;Wallis and Futuna;Wallis Island
VAL;city;Valenca;-13.3:-38.99;America/Fortaleza;Brazil;Valenca
MGD;city;Magdalena;-13.3:-64.13;America/La_Paz;Bolivia;Magdalena
NOS;city;Nossi-Be;-13.3150186:48.2592606;Indian/Antananarivo;Madagascar;Nossi-Be
SQM;city;SÌ£o Miguel de Aragao;-13.33:-50.2;;Brazil;SÌ£o Miguel de Aragao
TOH;city;Torres;-13.33:166.64;America/Bogota;Vanuatu;Torres
AUU;city;Aurukun Mission;-13.35:141.72;Australia/Brisbane;Australia;Aurukun Mission
VOH;city;Vohemar;-13.3702827:50.0033677;Indian/Antananarivo;Madagascar;Vohemar
CUZ;city;Cuzco;-13.525:-71.9722222;America/Lima;Peru;Cuzco
NBV;city;Cana Brava;-13.53:-48.25;America/Fortaleza;Brazil;Cana Brava
BVK;city;Huacaraje;-13.53:-63.8;America/La_Paz;Bolivia;Huacaraje
